Gasson, Susan	1
Chen, Feng	1
Cottam, Joseph	2
Gernandt, André (1)	1
Zhao, Yuxiang	1
Willis, Matt	1
Shah, Chirag (2)	1
Liu, Fang (1)	1
Shin, Grace	1
Morris, Rebecca Jane	1
Wang, Jun	1
Zavalina, Oksana L.	1
Joshi, Ritu Virendra (2)	1
Widdersheim, Michael Majewski	1
Qin, Jian	1
Costa, Mark	1
Srinivasan, Janaki (1)	1
Kusumakaulika, Nafiri	1
Sabanovic, Selma (1)	1
White, Kelvin	1
Fu, Hengyi (1)	1
Pan, Youneng (1,2)	1
Hagen, Loni	1
Sormunen, Eero (1)	1
Zhu, Qinghua	1
Honor, Leah	1
Horseman, Rachel Lynn	1
Edelblute, Trevor	1
Brännback, Malin	1
Morales, Miraida (1)	1
Ennis-Cole, Demetria	1
Kurup, Nikhil Gopinath	1
Foster, Jonathan	1
Lopatovska, Irene	4
Bailey, Diane	1
Gwizdka, Jacek	2
Lipinsk, Mario (1)	1
Shelton, Martin	1
Ryu, Hohyon (4)	1
Brooks, Catherine Francis	1
Stock, Wolfgang G.	1
Park, Hyoungjoo	1
Yeh, Tom (1)	1
Koizumi, Masanori	1
Finn, Megan (2)	1
Jones, Hilary (2)	1
Baptista Nunes, Miguel (2)	1
Newell, Bryce C	1
Ramirez, Ivonne Saidé	1
Raturi, Ankita	2
Kharrazi, Hadi	1
Lim, Sook	1
Arvola, Paavo (1)	1
Erickson, Ingrid	6
Sugimoto, Cassidy R	1
Richardson, Debra	4
Marcinkowski, Michael	1
Stiller, Juliane	2
Oard, Douglas W. (5)	1
Park, SoHyun	1
Zhang, Yan (1)	1
Xu, Xiaojuan	1
Sula, Chris	1
Castor, Maggie	1
Inskip, Charles	1
Järvelin, Anni (1)	1
Nathan, Lisa	4
Angeles, Jose	1
Cheng, James (1)	1
Gursoy, Ayse	1
McClure, Charles R.	1
Sawyer, Steven	4
Welsh, Anne	1
Caicedo Bastidas, Carlos Enrique	1
Reynolds, Chloe	1
Mostafa, Javed	1
Poole, Erika Shehan	1
Zhang, Guangxuan	1
Shah, Chirag	1
Demarest, Bradford	1
Norton, Juliet	2
Pine, Kathleen	1
Organisciak, Peter	1
Allard, Suzie (4)	1
Alhoori, Hamed (1)	1
Zhang, Yinglong	1
Kettunen, Kimmo (2)	1
Oh, Kyong Eun (1)	1
Haimson, Oliver L.	5
Nyström, Anna-Greta	1
Cheng, An-Shou (3)	1
Stromer-Galley, Jennifer	1
Brooks, Brandon Allen (2)	1
Baumer, Eric P. S. (2)	1
Sonne, Jennifer	1
Guo, Siyuan	1
Takishima, Yasuhiro (1)	1
Pellicone, Anthony James	1
Bederson, Benjamin B.	2
Eschler, Jordan	4
Kammer, Jenna	2
Maron, Deborah	1
Xia, Huichuan (2)	1
Wilkerson, Michelene	1
Jarusawat, Piyapat	1
Osterlund, Carsten	1
Worrall, Adam	1
Policicchio, Shauna Michelle (1)	1
Downie, J. Stephen	1
Thompson, Cheryl Annette (1)	1
Harrison, Teresa M.	1
Fallaw, Colleen	1
Kitzie, Vanessa	1
Kim, Jinyoung	1
Allen, Warren	4
Liu, Xiaozhong	3
Carrington, Patrick (2)	1
Aharony, Noa	1
Battaglia, Eric	1
Baker, Karen S. (1)	1
Fidler, Bradley	1
Peters, Elizabeth Hope	1
Oh, Sam	1
Sanders, Sean	1
Tayag, Elnora	1
Yu, Bei	1
Cotten, Shelia	1
Dombrowski, Lynn	1
Shih, Patrick C.	1
Joshi, KD (2)	1
Fleischmann, Kenneth R. (1)	1
Sharmin, Moushumi (2)	1
Lee, Charlotte P.	1
Ames, Morgan G. (3)	1
Carlyle, Allyson	1
Yan, Shiyan	1
Ahn, June	1
Ferro, Nicola (3)	1
Broussard, Ramona	1
Silberman, Six	2
Lim, Hyunchul	1
Sarcevic, Aleksandra	1
Ko, Young Man	1
Mattern, Eleanor	1
Carrasquillo, Odemaris (2)	1
Oh, Sanghee	2
Slota, Steve (1)	1
Shelia, Cotten (2)	1
Oh, Chiyoung	1
Guo, Chun	2
Lesk, Michael (1)	1
Howison, James	1
Nahon, Karine (2,3)	1
Lindström, Johanna	1
Jett, Jacob	1
Palmer, Carole L. (3)	1
Hiles, Hannah Rose	1
LaManna, Daniel	1
Budd, John M.	1
Goodale, Paula (1)	2
Bronstein, Jenny	1
Clement, Andrew	2
Senseney, Megan	1
Gruzd, Anatoliy	2
Choi, Inkyung	1
Herring, Susan C. (2)	1
Morales, Myrna (2)	1
Simons, Rachel	1
Ji, Cheng (2)	1
Fonseca, Frederico	2
Terekhova, Vera (1)	1
Larkin, Emily Elizabeth	1
Diolola, Jan	1
Haythornthwaite, Caroline	2
Park, Hye-Jin	1
Ramirez, Mario (3)	1
Norton, Juliet (1)	1
Kron, Tara	1
Wulf, Volker (1)	1
Olson, Gary M.	1
Wohn, Donghee Yvette	1
Carroll, John M.	1
Kanan, Tarek (3)	1
Carter, Daniel	2
Choi, Wonchan	1
Yavuz, Attila A. (2)	1
Aviles, Frank Pancho	1
Cai, Tingting (2)	1
Gao, Huiqin	1
Snyder, Jaime	3
Silvello, Gianmaria (3)	1
Shillair, R. J.	1
Tomlinson, Bill	4
Kluberdanz, Rebecca	1
Davaloo, Milad	1
Ekbia, Hamid R. (1)	1
Choe, Sou Hwan	1
James, David	1
Jarrahi, Mohammad	1
Shaffer, Elizabeth	1
Hjalmarsson, Anders (1,2)	1
Tomlinson, Bill (1)	1
Zhou, Bin	2
Alhabash, Saleem (1,2)	1
Sawyer, Steve	2
Peng, Alex	1
Daly, Diane	1
Todd, Ross	4
Geiger, R. Staurt	4
Penzenstadler, Birgit	4
Tuomela, Mikko	1
Lagoze, Carl	1
Wang, Jun (1)	1
Brannon, RaShauna (2)	1
Stickel, Oliver (1)	1
Järvelin, Kalervo (1)	1
Maloney, Murray	2
Ravi, S.S.	1
Robert, LaRose (2)	1
Zhang, Feifei	1
Doty, Colin	1
Sy, Erin	1
Blevis, Eli	2
Voida, Stephen	4
Ocepek, Melissa	1
Wada, Akiko	1
Reay, Danielle (2)	1
Barker, Lecia Jane	1
Piell, Ron	1
Rosenberg, Gary	1
Champagne, Ryan	1
Peekhaus, Wilhelm	1
Dai, Bin	1
Meschede, Christine	1
O'Neill, Brittney	1
Chong, Steven	1
Hemsley, Jeff	2
Pelechrinis, Konstantinos	1
Rifon, Nora J (1)	1
Twidale, Michael	1
Tan, Elliot (1)	1
Comstock, Sharon	1
Kazim, Nida	1
Butts, Carter T. (2)	1
Jeng, Wei	1
Albertson, Dan	2
Meuschke, Norman (1,2)	2
Rosson, Mary Beth	1
Lemieux, Vicki	2
Xiao, Lu (1)	2
Juncker, Beth	4
Gomez, Ricardo	1
Menking, Amanda	4
Dumas, Catherine	1
Kekäläinen, Jaana (1)	1
Lin, Yuwei (2)	1
Walker, Ashley Marie	1
Khoo, Michael (1)	1
Takayama, Yasuhiro (2)	1
Pipek, Volkmar (1)	1
Fisher, Karen	4
Peled, Alon (1)	1
Karlin, Beth	2
Milowski, Alex	2
Luong, Thuy T.B. (1)	1
Gabb, Henry A.	1
Lease, Matthew (2)	1
Han, Kyungsik	1
Furuta, Richard (1)	1
Heckman, Judd Randolph	1
Nakashole, Ndapandula	1
Chizari, Sara	1
Paine, Drew	1
Choi, Heekyung	2
Tomiura, Yoichi (4)	1
Nguyen, Trung	1
Waite, Peichi (2)	1
Giles, C. Lee (2)	1
Dedrick, Jason	1
Massam, Diana (2)	1
Lee, Florence	1
Gustafsson, Eva (1)	1
Todd, Ross J.	1
Corso, Anthony Joseph	1
Purao, Sandeep	1
Currie, Morgan	1
Shankar, Kalpana	5
Tayag, Elnora (5)	1
Huang, Kuo-Ting	1
Kumpulainen, Sanna (1)	1
Villa-Nicholas, Melissa	1
Lo, Katherine	1
Bar-Ilan, Judit	1
Burton, Matt	4
Nardi, Bonnie	1
Tsaasan, Anita Marie	1
Lucic, Ana	1
Lee, Jongwook	1
Widen, Gunilla	1
Hartmann, Sarah	1
Bogers, Toine	1
Lee, Jisue	1
Lu, Yihan	1
LI, Xiaofeng	1
Eikey, Elizabeth	1
Reddy, Madhu	1
Zaugg, Holt (1)	1
Zheng, You	1
Wen, Xidao	1
Furlow, Tim	1
Milojevic, Staša	1
Bardoff, Corina	1
Petras, Vivien (2)	1
Kane, Shaun K. (1)	1
Stanton, Jeff	2
Barto, Thomas	1
Kotfila, Christopher	1
Tsai, Chun-Hua	1
Ray Choudhury, Sagnik (2)	1
Hattori, Gen (1)	1
Koh, Kyungwon	1
Bowler, Leanne	1
Lee, Christopher (3)	1
Wu, Shuheng (2)	1
Rodriguez, Emely (1)	1
Huang, Yun (2)	1
Reed, Philip J. (1)	1
Arapakis, Ioannis	2
Srinivasan, Janaki (2)	1
McNeirney, Katie	1
Belkin, Nicholas (2)	1
Sholler, Dan	1
Crawford Barniskis, Shannon A	1
Balling, Gitte	4
Gray, LaVerne (4)	1
Huvila, Isto	1
Vakharia, Donna (1)	1
Sharma, Sarika K	1
Gruning, Jane	1
Acker, Amelia	4
Duerr, Ruth E. (2)	1
Gray, LaVerne	1
Raghavan, Barath (3)	1
Vallejo, Jessica	1
Xing, Wanli	1
Wang, Yang	2
Stahlman, Gretchen Renee	1
Gäde, Maria	2
Kizhakkethil, Priya	1
Hu, Changping	1
Teasley, Stephanie D.	2
Arthur, Kathleen L. Arthur	1
Poole, Erika	1
Proferes, Nicholas John	1
